2021-02-06 16:29:11.204 FEED MONEY: $500500
06/02/2021 16:31:22.055 FEED MONEY: $5 5
06/02/2021 16:33:38.179 FEED MONEY: $7 $7
07/02/2021 14:52:07.467 FEED MONEY: $5 $5
07/02/2021 14:59:22.492 FEED MONEY: $5 $0
07/02/2021 15:01:37.927 FEED MONEY: $5 $5
07/02/2021 15:02:39.597 FEED MONEY: $5 $5
07/02/2021 15:02:41.865 FEED MONEY: $10 $15
07/02/2021 15:02:44.132 FEED MONEY: $2 $17
07/02/2021 15:02:46.037 FEED MONEY: $5 $22
07/02/2021 15:02:47.469 FEED MONEY: $10 $32
07/02/2021 15:06:30.254 FEED MONEY: $5 $5
07/02/2021 15:06:31.831 FEED MONEY: $1 $6
07/02/2021 15:06:32.729 FEED MONEY: $2 $8
07/02/2021 15:06:35.042 FEED MONEY: $10 $18
07/02/2021 15:06:36.202 FEED MONEY: $5 $23
07/02/2021 15:11:48.219 FEED MONEY: $5 $5
07/02/2021 15:17:42.067 FEED MONEY: $5 $5
07/02/2021 15:22:15.271 FEED MONEY: $5 $5
07/02/2021 15:22:16.717 FEED MONEY: $10 $15
07/02/2021 15:25:55.910 FEED MONEY: $5 $5
07/02/2021 16:29:00.946 FEED MONEY: $5 $500
07/02/2021 16:53:35.840 FEED MONEY: $5 $5
07/02/2021 16:53:36.905 FEED MONEY: $5 $10
07/02/2021 16:53:44.100 Triplemint D4 10 925
07/02/2021 16:53:47.758 Triplemint D4 9 850
07/02/2021 16:57:14.444 FEED MONEY: $5.0 $5.0
07/02/2021 16:57:15.066 FEED MONEY: $5.0 $10.0
07/02/2021 16:57:22.152 Triplemint D4 $10.0 $9.25
07/02/2021 16:57:25.203 Triplemint D4 $9.25 $8.5
07/02/2021 17:06:19.847 FEED MONEY: $5.0 $5.0
07/02/2021 17:06:20.722 FEED MONEY: $5.0 $10.0
07/02/2021 17:06:28.866 Triplemint D4 $10.0 $9.25
07/02/2021 17:06:31.333 FEED MONEY: $2.0 $11.25
07/02/2021 17:06:38.319 Chiclets D3 $11.25 $10.5
07/02/2021 17:06:38.319 GIVE CHANGE: $10.5 $0.0
07/02/2021 17:14:45.261 FEED MONEY: $5.0 $5.0
07/02/2021 17:14:51.901 Triplemint D4 $5.0 $4.25
07/02/2021 17:14:56.146 Triplemint D4 $4.25 $3.5
07/02/2021 17:14:59.254 Triplemint D4 $3.5 $2.75
07/02/2021 17:15:01.413 Triplemint D4 $2.75 $2.0
07/02/2021 17:15:06.227 Triplemint D4 $2.0 $1.25
07/02/2021 17:15:35.311 FEED MONEY: $5.0 $5.0
07/02/2021 17:15:41.901 Triplemint D4 $5.0 $4.25
07/02/2021 17:15:54.014 Triplemint D4 $4.25 $3.5
07/02/2021 17:15:57.077 Triplemint D4 $3.5 $2.75
07/02/2021 17:15:59.871 Triplemint D4 $2.75 $2.0
07/02/2021 17:16:03.014 Triplemint D4 $2.0 $1.25
07/02/2021 17:17:27.785 FEED MONEY: $5.0 $5.0
07/02/2021 17:17:34.740 Triplemint D4 $5.0 $4.25
07/02/2021 17:17:36.676 Triplemint D4 $4.25 $3.5
07/02/2021 17:17:38.512 Triplemint D4 $3.5 $2.75
07/02/2021 17:17:41.967 Triplemint D4 $2.75 $2.0
07/02/2021 17:17:44.934 Triplemint D4 $2.0 $1.25
07/02/2021 17:22:38.517 FEED MONEY: $5.0 $5.0
07/02/2021 17:22:46.266 Triplemint D4 $5.0 $4.25
07/02/2021 17:22:49.040 Triplemint D4 $4.25 $3.5
07/02/2021 17:22:51.628 Triplemint D4 $3.5 $2.75
07/02/2021 17:22:53.833 Triplemint D4 $2.75 $2.0
07/02/2021 17:22:57.752 Triplemint D4 $2.0 $1.25
07/02/2021 17:24:43.214 FEED MONEY: $10.0 $10.0
07/02/2021 17:25:07.506 Triplemint D4 $10.0 $9.25
07/02/2021 17:25:10.516 Triplemint D4 $9.25 $8.5
07/02/2021 17:25:10.517 GIVE CHANGE: $8.5 $0.0
07/02/2021 17:25:15.944 FEED MONEY: $1.0 $1.0
07/02/2021 17:26:10.790 Triplemint D4 $1.0 $0.25
07/02/2021 17:26:24.177 FEED MONEY: $5.0 $5.25
07/02/2021 17:26:29.737 Triplemint D4 $5.25 $4.5
07/02/2021 17:26:34.635 Triplemint D4 $4.5 $3.75
07/02/2021 17:26:40.931 GIVE CHANGE: $3.75 $0.0
07/02/2021 17:27:56.370 FEED MONEY: $5.0 $5.0
07/02/2021 17:27:59.220 GIVE CHANGE: $5.0 $0.0
07/02/2021 17:28:05.868 FEED MONEY: $10.0 $10.0
07/02/2021 17:28:12.863 Chiclets D3 $10.0 $9.25
07/02/2021 17:28:12.863 GIVE CHANGE: $9.25 $0.0
07/02/2021 17:28:48.030 FEED MONEY: $10.0 $10.0
07/02/2021 17:28:50.466 GIVE CHANGE: $10.0 $0.0
07/02/2021 17:30:10.288 FEED MONEY: $5.0 $5.0
07/02/2021 17:30:13.003 FEED MONEY: $10.0 $15.0
07/02/2021 17:34:04.833 FEED MONEY: $10.0 $10.0
07/02/2021 17:34:38.706 FEED MONEY: $10.0 $10.0
07/02/2021 17:34:45.203 U-Chews D1 $10.0 $9.15
07/02/2021 17:34:45.204 GIVE CHANGE: $9.15 $0.0
07/02/2021 17:35:47.948 FEED MONEY: $10.0 $10.0
07/02/2021 17:35:51.953 GIVE CHANGE: $10.0 $0.0
07/02/2021 17:36:22.802 FEED MONEY: $10.0 $10.0
07/02/2021 17:36:31.248 U-Chews D1 $10.0 $9.15
07/02/2021 17:36:31.248 GIVE CHANGE: $9.15 $0.0
07/02/2021 18:00:30.915 FEED MONEY: $5.0 $5.0
07/02/2021 18:01:11.225 Potato Crisps A1 $5.0 $1.95
07/02/2021 18:01:11.226 GIVE CHANGE: $1.95 $0.0
07/02/2021 18:01:28.729 FEED MONEY: $10.0 $10.0
07/02/2021 18:01:59.075 Crunchie B4 $10.0 $8.25
07/02/2021 18:01:59.075 GIVE CHANGE: $8.25 $0.0
07/02/2021 18:02:27.323 FEED MONEY: $5.0 $5.0
07/02/2021 18:02:48.238 Mountain Melter C3 $5.0 $3.5
07/02/2021 18:02:48.238 GIVE CHANGE: $3.5 $0.0
07/02/2021 18:56:12.900 FEED MONEY: $5.0 $5.0
07/02/2021 18:56:21.963 Chiclets D3 $5.0 $4.25
07/02/2021 18:56:21.964 GIVE CHANGE: $4.25 $0.0
07/02/2021 18:56:33.133 FEED MONEY: $5.0 $5.0
07/02/2021 18:56:41.514 GIVE CHANGE: $5.0 $0.0
07/02/2021 19:02:07.685 FEED MONEY: $1.0 $1.0
07/02/2021 19:02:16.064 Triplemint D4 $1.0 $0.25
07/02/2021 19:02:16.065 GIVE CHANGE: $0.25 $0.0
07/02/2021 19:11:00.836 FEED MONEY: $2.0 $2.0
